"stateFlagCode","state","RatPopulation_2022","RatControlSearchesPer100k_2024"
,"California",25000000,225
,"New York",20000000,189
,"Texas",15000000,248
,"Florida",10000000,354
,"Illinois",8000000,203
,"Pennsylvania",7000000,234
,"Ohio",6000000,198
,"Michigan",5000000,248
,"New Jersey",4000000,244
,"North Carolina",3000000,282
,"Arizona",2000000,348
,"Georgia",2000000,328
,"Indiana",2000000,187
,"Louisiana",2000000,224
,"Maryland",2000000,217
,"Massachusetts",2000000,234
,"Minnesota",2000000,178
,"Missouri",2000000,199
,"Oklahoma",2000000,260
,"Tennessee",2000000,303
,"Virginia",2000000,304
,"Washington",2000000,213
,"Wisconsin",2000000,212
,"Alabama",1000000,301
,"Arkansas",1000000,218
,"Colorado",1000000,209
,"Connecticut",1000000,241
,"Idaho",1000000,210
,"Iowa",1000000,208
,"Kansas",1000000,212
,"Kentucky",1000000,189
,"Mississippi",1000000,251
,"Nebraska",1000000,216
,"Nevada",1000000,292
,"New Mexico",1000000,196
,"Oregon",1000000,237
,"South Carolina",1000000,236
,"Utah",1000000,381
,"West Virginia",1000000,220
,"Alaska",500000,181
,"Delaware",500000,412
,"Hawaii",500000,201
,"Maine",500000,312
,"Montana",500000,168
,"New Hampshire",500000,291
,"North Dakota",500000,194
,"Rhode Island",500000,335
,"South Dakota",500000,189
,"Vermont",500000,343
,"Wyoming",500000,241
