State,Population
.Alabama,"5,193,088"
.Alaska,"737,270"
.Arizona,"7,623,818"
.Arkansas,"3,114,791"
.California,"39,355,309"
.Colorado,"6,012,561"
.Connecticut,"3,688,496"
.Delaware,"1,059,952"
.District of Columbia,"693,645"
.Florida,"23,462,518"
.Georgia,"11,302,748"
.Hawaii,"1,432,820"
.Idaho,"2,029,733"
.Illinois,"12,719,141"
.Indiana,"6,973,333"
.Iowa,"3,238,387"
.Kansas,"2,977,220"
.Kentucky,"4,606,864"
.Louisiana,"4,618,189"
.Maine,"1,414,874"
.Maryland,"6,265,347"
.Massachusetts,"7,154,084"
.Michigan,"10,127,884"
.Minnesota,"5,830,405"
.Mississippi,"2,954,160"
.Missouri,"6,270,541"
.Montana,"1,144,694"
.Nebraska,"2,018,006"
.Nevada,"3,282,188"
.New Hampshire,"1,415,342"
.New Jersey,"9,548,215"
.New Mexico,"2,125,498"
.New York,"20,002,427"
.North Carolina,"11,197,968"
.North Dakota,"799,358"
.Ohio,"11,900,510"
.Oklahoma,"4,123,288"
.Oregon,"4,273,586"
.Pennsylvania,"13,059,432"
.Rhode Island,"1,114,521"
.South Carolina,"5,570,274"
.South Dakota,"935,094"
.Tennessee,"7,315,076"
.Texas,"31,709,821"
.Utah,"3,538,904"
.Vermont,"644,663"
.Virginia,"8,880,107"
.Washington,"8,001,020"
.West Virginia,"1,766,147"
.Wisconsin,"5,972,787"
.Wyoming,"588,753"
,
.Puerto Rico,"3,184,835"
"The Census Bureau has reviewed this data product to ensure appropriate access, use, and disclosure avoidance protection of the confidential source data used to produce this product (Data Management System (DMS) number: P-6000042 and P-7501659. Disclosure Review Board (DRB) approval number: CBDRB-FY25-0466). ",
"The estimates are based on the 2020 Modified Age and Race Census (MARC) file and include changes from Count Question Resolution, the Post-Census Group Quarters Review, and geographic revisions. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. See Geographic Terms and Definitions at https://www.census.gov/programs-surveys/popest/guidance-geographies/terms-and-definitions.html for a list of the states that are included in each region. All geographic boundaries for the 2025 population estimates series are as of January 1, 2025.",
Suggested Citation:,
"Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2025 (NST-EST2025-POP)",
"Source: U.S. Census Bureau, Population Division",
Release Date: January 2026,
